measurement,time,valuie
light,2025-04-26T02:00:16.003742Z,0.0
light,2025-04-26T02:05:16.005074Z,0.0
light,2025-04-26T02:10:16.005646Z,0.0
light,2025-04-26T02:15:16.007905Z,0.0
light,2025-04-26T02:20:16.012981Z,0.0
light,2025-04-26T02:25:16.012229Z,0.0
light,2025-04-26T02:30:16.031314Z,0.0
light,2025-04-26T02:35:16.012073Z,0.0
light,2025-04-26T02:40:16.015421Z,0.0
light,2025-04-26T02:45:16.106758Z,0.0
light,2025-04-26T02:50:16.017485Z,0.0
light,2025-04-26T02:55:16.043063Z,0.0
light,2025-04-26T03:00:16.072564Z,0.0
light,2025-04-26T03:05:16.105191Z,0.46
light,2025-04-26T03:10:16.033931Z,1.38
light,2025-04-26T03:15:16.065828Z,3.23
light,2025-04-26T03:20:16.097257Z,5.07
light,2025-04-26T03:25:16.026036Z,7.83
light,2025-04-26T03:30:16.057220Z,10.6
light,2025-04-26T03:35:16.088978Z,13.82
light,2025-04-26T03:40:16.017206Z,17.97
light,2025-04-26T03:45:16.048039Z,20.74
light,2025-04-26T03:50:16.079074Z,23.04
light,2025-04-26T03:55:16.007563Z,27.65
light,2025-04-26T04:00:16.038822Z,31.33
light,2025-04-26T04:05:16.069465Z,35.94
light,2025-04-26T04:10:15.998503Z,41.01
light,2025-04-26T04:15:16.029781Z,43.32
light,2025-04-26T04:20:15.958287Z,49.77
light,2025-04-26T04:25:15.989350Z,49.77
light,2025-04-26T04:30:16.036170Z,52.99
light,2025-04-26T04:35:15.977560Z,54.37
light,2025-04-26T04:40:16.017092Z,82.02
light,2025-04-26T04:45:16.054417Z,64.97
light,2025-04-26T04:50:15.988054Z,65.89
light,2025-04-26T04:55:16.023351Z,66.82
light,2025-04-26T05:00:16.058686Z,70.04
light,2025-04-26T05:05:15.991198Z,71.42
light,2025-04-26T05:10:16.025995Z,73.27
light,2025-04-26T05:15:16.060071Z,85.71
light,2025-04-26T05:20:15.992432Z,77.88
light,2025-04-26T05:25:16.027158Z,81.1
light,2025-04-26T05:30:16.061599Z,141.93
light,2025-04-26T05:35:15.994922Z,90.32
light,2025-04-26T05:40:16.034903Z,109.21
light,2025-04-26T05:45:16.073898Z,156.21
light,2025-04-26T05:50:16.008564Z,106.44
light,2025-04-26T05:55:16.044604Z,112.44
light,2025-04-26T06:00:16.080559Z,186.16
light,2025-04-26T06:05:16.013985Z,197.22
light,2025-04-26T06:10:16.049914Z,146.07
light,2025-04-26T06:15:16.086644Z,142.39
light,2025-04-26T06:20:16.020374Z,129.02
light,2025-04-26T06:25:16.056181Z,206.9
light,2025-04-26T06:30:16.092445Z,126.72
light,2025-04-26T06:35:16.025065Z,155.75
light,2025-04-26T06:40:16.057798Z,199.53
light,2025-04-26T06:45:16.097654Z,236.85
light,2025-04-26T06:50:16.028175Z,236.39
light,2025-04-26T06:55:16.067136Z,147.92
light,2025-04-26T07:00:16.100300Z,148.38
light,2025-04-26T07:05:16.036772Z,238.23
light,2025-04-26T07:10:16.073185Z,157.59
light,2025-04-26T07:15:16.109321Z,249.75
light,2025-04-26T07:20:16.043667Z,223.95
light,2025-04-26T07:25:16.079864Z,161.74
light,2025-04-26T07:30:16.116823Z,171.42
light,2025-04-26T07:35:16.050370Z,174.18
light,2025-04-26T07:40:16.086614Z,282.01
light,2025-04-26T07:45:16.122159Z,275.56
light,2025-04-26T07:50:16.056075Z,216.12
light,2025-04-26T07:55:16.092005Z,190.77
light,2025-04-26T08:00:16.128079Z,230.86
light,2025-04-26T08:05:16.061198Z,298.14
light,2025-04-26T08:10:16.114130Z,296.76
light,2025-04-26T08:15:16.133611Z,295.37
light,2025-04-26T08:20:16.067458Z,284.31
light,2025-04-26T08:25:16.103166Z,289.84
light,2025-04-26T08:30:16.139360Z,292.15
light,2025-04-26T08:35:16.073447Z,291.23
light,2025-04-26T08:40:16.109316Z,294.91
light,2025-04-26T08:45:16.130357Z,297.68
light,2025-04-26T08:50:16.049300Z,302.75
light,2025-04-26T08:55:16.073708Z,302.28
light,2025-04-26T09:00:16.102102Z,306.43
light,2025-04-26T09:05:16.029967Z,314.73
light,2025-04-26T09:10:16.061467Z,326.71
light,2025-04-26T09:15:16.092793Z,313.34
light,2025-04-26T09:20:16.127582Z,304.59
light,2025-04-26T09:25:16.059533Z,320.72
light,2025-04-26T09:30:16.092961Z,310.58
light,2025-04-26T09:35:16.024198Z,309.66
light,2025-04-26T09:40:16.057903Z,310.12
light,2025-04-26T09:45:16.090540Z,316.57
light,2025-04-26T09:50:16.123458Z,307.35
light,2025-04-26T09:55:16.069085Z,306.89
light,2025-04-26T10:00:16.110463Z,307.81
light,2025-04-26T10:05:16.149307Z,311.5
light,2025-04-26T10:10:16.084279Z,309.2
light,2025-04-26T10:15:16.120184Z,312.88
light,2025-04-26T10:20:16.053064Z,311.04
light,2025-04-26T10:25:16.088543Z,311.04
light,2025-04-26T10:30:16.123599Z,311.04
light,2025-04-26T10:35:16.054726Z,310.12
light,2025-04-26T10:40:16.089950Z,310.12
light,2025-04-26T10:45:16.124316Z,311.96
light,2025-04-26T10:50:16.159231Z,311.96
light,2025-04-26T10:55:16.091606Z,219.8
light,2025-04-26T11:00:16.129563Z,311.96
light,2025-04-26T11:05:16.170155Z,307.81
light,2025-04-26T11:10:16.106563Z,308.28
light,2025-04-26T11:15:16.143912Z,305.97
